A,R,S,τ
1100.0,3200.0,365.9417614663497,86.88981902023725
1100.0,3250.0,377.5295232693756,86.84985638878929
1100.0,3300.0,389.29691013820167,86.82288512146867
1100.0,3350.0,401.2439211974907,86.79633400133758
1100.0,3400.0,413.37055549618594,86.7689243646187
1100.0,3450.0,425.67681210770303,86.74307095706514
1100.0,3500.0,438.1626900617652,86.7277871612051
1100.0,3550.0,450.82818825329866,86.70883714916359
1100.0,3600.0,463.67330560898637,86.69344904024105
1100.0,3650.0,476.6980413375382,86.67507690229905
1100.0,3700.0,489.9023941333573,86.66672600779034
1100.0,3750.0,503.2863628351815,86.6567026347181
1100.0,3800.0,516.8499463441652,86.64973850509625
1100.0,3850.0,530.5931435467016,86.63850952722485
1100.0,3900.0,544.5159531678421,86.63555866518743
1100.0,3950.0,558.6183740288315,86.62939071389437
1100.0,4000.0,572.9004046578651,86.63227710284932
1100.0,4050.0,587.36204449596,86.626658455864
1100.0,4100.0,602.0032915845031,86.63142595078338
1100.0,4150.0,616.824144714653,86.63175401174553
1100.0,4200.0,631.8246026975132,86.63635458780766
1100.0,4250.0,647.0046642880528,86.63802191237525
1100.0,4300.0,662.3643279197039,86.64412824521239
1100.0,4350.0,677.903592227189,86.65076091241448
1100.0,4400.0,693.622455981558,86.65477610039042
1100.0,4450.0,709.5209175847732,86.66320647622231
1100.0,4500.0,725.5989756166905,86.67169008372487
1100.0,4550.0,741.8566287055846,86.68405056661722
1100.0,4600.0,758.2938753047555,86.69377281185477
1100.0,4650.0,774.9107137340292,86.70425023299562
1100.0,4700.0,791.7071430469183,86.71582284738012
1100.0,4750.0,808.683161126683,86.730932459357
1100.0,4800.0,825.838766636239,86.74366505623179
1100.0,4850.0,843.1739577664969,86.75922164330015
1100.0,4900.0,860.688733605028,86.77283041777696
1100.0,4950.0,878.383091852474,86.78915598552385
1100.0,5000.0,896.257031135979,86.8056355107444
1100.0,5050.0,914.3105497669036,86.81796575374705
1100.0,5100.0,932.5436461968377,86.83461534855755
1100.0,5150.0,950.956318647705,86.85198446569157
1100.0,5200.0,969.5485653986588,86.87231330339857
1100.0,5250.0,988.3203848203372,86.89189226078612
1100.0,5300.0,1007.2717751562004,86.91115561293581
1100.0,5350.0,1026.4027346494236,86.93038777380383
