t,M,P,model,gene
30.0,11.72941648572577,2598.0359006298286,Repressilator,Gene 3
31.0,11.791828011834744,2709.178368782254,Repressilator,Gene 3
32.0,11.836262240877362,2805.1503173658098,Repressilator,Gene 3
33.0,11.867852044646765,2887.634111836071,Repressilator,Gene 3
34.0,11.89026369038442,2958.247134063146,Repressilator,Gene 3
35.0,11.906039628948031,3018.487431880959,Repressilator,Gene 3
36.0,11.916477541442214,3069.694942513886,Repressilator,Gene 3
37.0,11.918031108418262,3112.9796397405094,Repressilator,Gene 3
38.0,11.863111823929076,3148.719107854571,Repressilator,Gene 3
39.0,11.348847572721667,3171.9383892392984,Repressilator,Gene 3
40.0,9.41446080953589,3150.999786398903,Repressilator,Gene 3
41.0,6.938983955871413,3038.245392283186,Repressilator,Gene 3
42.0,4.961312083863171,2840.123290740618,Repressilator,Gene 3
43.0,3.5267807774720716,2592.2903245368548,Repressilator,Gene 3
44.0,2.503775833533589,2324.8766211948264,Repressilator,Gene 3
45.0,1.776852478007727,2057.8833332538793,Repressilator,Gene 3
46.0,1.2608101230489643,1803.441393197181,Repressilator,Gene 3
47.0,0.8945883394836189,1568.2528971589377,Repressilator,Gene 3
48.0,0.6347237875016097,1355.4322367533687,Repressilator,Gene 3
49.0,0.45033977785894186,1165.8012317854432,Repressilator,Gene 3
50.0,0.31951645434944514,998.7753311193921,Repressilator,Gene 3
51.0,0.22669704340718444,852.9588096944698,Repressilator,Gene 3
52.0,0.16084224102980324,726.5373423112218,Repressilator,Gene 3
53.0,0.11411898670873406,617.531289107481,Repressilator,Gene 3
54.0,0.08096948327669182,523.954219243239,Repressilator,Gene 3
55.0,0.0574504097329971,443.90765271162326,Repressilator,Gene 3
56.0,0.04076398305907559,375.63343254521544,Repressilator,Gene 3
57.0,0.02892520076818665,317.53843645431124,Repressilator,Gene 3
58.0,0.020525732492542983,268.20166629560674,Repressilator,Gene 3
59.0,0.01456639317221185,226.37050790801368,Repressilator,Gene 3
60.0,0.01033828123678273,190.95070976562198,Repressilator,Gene 3
61.0,0.00733844589785318,160.99308237361433,Repressilator,Gene 3
62.0,0.005210051095623732,135.67886506312584,Repressilator,Gene 3
63.0,0.0036999251901077635,114.30501622714088,Repressilator,Gene 3
64.0,0.0026285843639543964,96.27016267085597,Repressilator,Gene 3
65.0,0.0018690282976085784,81.06116592033025,Repressilator,Gene 3
66.0,0.0013313372156981843,68.2410070508474,Repressilator,Gene 3
67.0,0.0009520394333817661,57.43854766728438,Repressilator,Gene 3
68.0,0.0006868044836940338,48.33922792970296,Repressilator,Gene 3
69.0,0.0005055045804911144,40.676789717244255,Repressilator,Gene 3
70.0,0.0003892475413479645,34.22614339637466,Repressilator,Gene 3
71.0,0.000329321333943076,28.79728905231372,Repressilator,Gene 3
72.0,0.00032847846106773406,24.230197582772707,Repressilator,Gene 3
73.0,0.00040580194395010836,20.39060806952208,Repressilator,Gene 3
74.0,0.0006078808646696311,17.16678271358693,Repressilator,Gene 3
75.0,0.001031871042453402,14.467410312881588,Repressilator,Gene 3
76.0,0.0018715742455415701,12.221130647530545,Repressilator,Gene 3
77.0,0.0035085791410495873,10.378696714077916,Repressilator,Gene 3
78.0,0.006691870221274911,8.919853573542385,Repressilator,Gene 3
79.0,0.012890726382573587,7.8690851761409775,Repressilator,Gene 3
80.0,0.02498416413921524,7.328392331110407,Repressilator,Gene 3
81.0,0.04859123186239465,7.542862814360865,Repressilator,Gene 3
82.0,0.0945707344950733,9.028492335250327,Repressilator,Gene 3
83.0,0.1834614491361032,12.813717580106596,Repressilator,Gene 3
84.0,0.35244238099716607,20.871326748473358,Repressilator,Gene 3
85.0,0.6631800022924424,36.808515723146314,Repressilator,Gene 3
86.0,1.2016377752265353,66.71829077593424,Repressilator,Gene 3
87.0,2.050285437612135,119.60288114709643,Repressilator,Gene 3
88.0,3.2243164543024876,206.16400209626468,Repressilator,Gene 3
89.0,4.622584926790177,334.8026469539434,Repressilator,Gene 3
90.0,6.065978514803399,506.7191520448227,Repressilator,Gene 3
91.0,7.392219674757924,714.7578926242903,Repressilator,Gene 3
92.0,8.512011498292143,946.4887758391623,Repressilator,Gene 3
93.0,9.404583140708176,1188.422180650587,Repressilator,Gene 3
94.0,10.089382750045962,1428.9111120190623,Repressilator,Gene 3
95.0,10.601684999481673,1659.3159344378364,Repressilator,Gene 3
