t,I,M,P,model,gene
9,-10.308952660644309,24.652738243227393,624.5490038139594,GR,1
10,-10.308952660644309,26.244832732905483,735.6091257675913,GR,1
11,-10.308952660644309,27.68556147738025,852.0559120383576,GR,1
12,-10.308952660644309,28.989315077764807,973.0566324073111,GR,1
13,-10.308952660644309,30.169116106614098,1097.86495348645,GR,1
14,-10.308952660644309,31.23674911060493,1225.812423788736,GR,1
15,-10.308952660644309,32.20287816205696,1356.3008094848797,GR,1
16,-10.308952660644309,33.07715357886683,1488.7951667359548,GR,1
17,-10.308952660644309,33.86830822757534,1622.8176141395493,GR,1
18,-10.308952660644309,34.58424449737864,1757.9417279918061,GR,1
19,-10.308952660644309,35.23211384654066,1893.787435486184,GR,1
20,-10.308952660644309,35.818387609313525,2030.0164808613436,GR,1
21,-10.308952660644309,36.34892183891805,2166.3282864110693,GR,1
22,-10.308952660644309,36.82901590226006,2302.4562229387316,GR,1
23,-10.308952660644309,37.26346539152183,2438.164250227534,GR,1
24,-10.308952660644309,37.65660993265848,2573.2438887265516,GR,1
25,-10.308952660644309,38.01237650087539,2707.5114822543537,GR,1
26,-10.308952660644309,38.33431876122006,2840.8057179842904,GR,1
27,-10.308952660644309,38.62565255626726,2972.9853939267914,GR,1
28,-10.308952660644309,38.889287987502854,3103.9274048586603,GR,1
29,-10.308952660644309,39.12785842386021,3233.5249247955826,GR,1
30,-10.308952660644309,39.34374688616561,3361.6857578316553,GR,1
31,-10.308952660644309,39.53910985882968,3488.3308527370186,GR,1
32,-10.308952660644309,39.715898812249826,3613.392963072457,GR,1
33,-10.308952660644309,39.87587964615047,3736.815439092627,GR,1
34,-10.308952660644309,40.0206503669326,3858.551132152032,GR,1
35,-10.308952660644309,40.15165707083968,3978.56140637708,GR,1
36,-10.308952660644309,40.27020837964432,4096.8152479788805,GR,1
37,-10.308952660644309,40.377488481897764,4213.288462383788,GR,1
38,-10.308952660644309,40.47456896866339,4327.962947614603,GR,1
39,-10.308952660644309,40.5624196019165,4440.8260356018145,GR,1
40,-10.308952660644309,40.64191778135375,4551.869912305008,GR,1
41,-10.308952660644309,40.71385777241636,4661.091060121042,GR,1
42,-10.308952660644309,40.77895803637022,4768.489807463928,GR,1
43,-10.308952660644309,40.83786898650837,4874.069866225606,GR,1
44,-10.308952660644309,40.89117894383805,4977.837966891331,GR,1
45,-10.308952660644309,40.939420527101895,5079.803481031288,GR,1
46,-10.308952660644309,40.98307552205294,5179.978125121181,GR,1
47,-10.308952660644309,41.022580067756024,5278.375657131276,GR,1
48,-10.308952660644309,41.05832870851075,5375.011632544242,GR,1
49,-10.308952660644309,41.09067858081747,5469.903161765186,GR,1
50,-10.308952660644309,41.11995278779355,5563.068709802872,GR,1
51,-10.308952660644309,41.14644376947026,5654.5279027799115,GR,1
52,-10.308952660644309,41.17041612669929,5744.301363416729,GR,1
53,-10.308952660644309,41.19210932207949,5832.410557306066,GR,1
54,-10.308952660644309,41.21174004710192,5918.877658307292,GR,1
55,-10.308952660644309,41.229504383889584,6003.725426460321,GR,1
56,-10.308952660644309,41.24557978923448,6086.9770985549385,GR,1
57,-10.308952660644309,41.2601268237749,6168.65629115225,GR,1
58,-10.308952660644309,41.27329081290253,6248.786912361855,GR,1
59,-10.308952660644309,41.28520323153414,6327.3930846925705,GR,1
60,-10.308952660644309,41.29598309062137,6404.499074699645,GR,1
61,-10.308952660644309,41.30573804929652,6480.129231491637,GR,1
62,-10.308952660644309,41.31456556777469,6554.3079313448525,GR,1
63,-10.308952660644309,41.32255380464808,6627.059528634442,GR,1
64,-10.308952660644309,41.32978258012404,6698.408313146158,GR,1
65,-10.308952660644309,41.336324061642856,6768.378470329826,GR,1
66,-10.308952660644309,41.342243606489454,6836.9940489147975,GR,1
67,-10.308952660644309,41.34760035067679,6904.278929790284,GR,1
68,-10.308952660644309,41.35244780866346,6970.256800626917,GR,1
69,-10.308952660644309,41.356834401091405,7034.951133513546,GR,1
70,-10.308952660644309,41.360803941096144,7098.385165008815,GR,1
71,-10.308952660644309,41.36439607765799,7160.581878693358,GR,1
72,-10.308952660644309,41.36764669295315,7221.563990396455,GR,1
73,-10.308952660644309,41.370588258269834,7281.353935813923,GR,1
74,-10.308952660644309,41.37325015651227,7339.973860028706,GR,1
75,-10.308952660644309,41.37565897620845,7397.445608634507,GR,1
76,-10.308952660644309,41.37783877829208,7453.790720382575,GR,1
77,-10.308952660644309,41.37981133668085,7509.030421286755,GR,1
78,-10.308952660644309,41.38159635523449,7563.185620028145,GR,1
79,-10.308952660644309,41.3832116642158,7616.276904468931,GR,1
80,-10.308952660644309,41.38467339852798,7668.324539137106,GR,1
81,-10.308952660644309,41.38599615912984,7719.348463596716,GR,1
82,-10.308952660644309,41.38719315891531,7769.368291625328,GR,1
