t,M,P,model,sim,gene
69,11.945506570494551,3351.055217437992,Toggle,1,2
70,11.945506585885303,3351.1094766054857,Toggle,1,2
71,11.945506596801682,3351.1551035862753,Toggle,1,2
72,11.94550660454412,3351.1934715756283,Toggle,1,2
73,11.945506610035483,3351.225735405502,Toggle,1,2
74,11.945506613930085,3351.252866195971,Toggle,1,2
75,11.945506616692029,3351.2756805490244,Toggle,1,2
76,11.94550661865067,3351.2948651683105,Toggle,1,2
77,11.945506620039573,3351.3109975387547,Toggle,1,2
78,11.945506621024332,3351.3245632610665,Toggle,1,2
79,11.94550662172249,3351.3359706689967,Toggle,1,2
80,11.945506622217447,3351.3455631495913,Toggle,1,2
81,11.945506622568287,3351.3536294625583,Toggle,1,2
82,11.945506622816932,3351.3604124130525,Toggle,1,2
83,11.94550662299317,3351.366116182608,Toggle,1,2
84,11.945506623117973,3351.3709124742772,Toggle,1,2
85,11.945506623206377,3351.3749456674,Toggle,1,2
86,11.945506623268985,3351.378337168908,Toggle,1,2
87,11.945506623313282,3351.3811890746483,Toggle,1,2
88,11.945506623344638,3351.3835872368354,Toggle,1,2
89,11.94550662336681,3351.3856038446693,Toggle,1,2
90,11.945506623382483,3351.387299604558,Toggle,1,2
91,11.94550662339354,3351.388725556713,Toggle,1,2
92,11.945506623401327,3351.3899246405335,Toggle,1,2
93,11.945506623406844,3351.390932946223,Toggle,1,2
94,11.94550662341069,3351.3917808305177,Toggle,1,2
95,11.945506623413404,3351.3924938112405,Toggle,1,2
96,11.945506623415342,3351.3930933582546,Toggle,1,2
97,11.94550662341667,3351.3935975133304,Toggle,1,2
98,11.945506623417605,3351.3940214581785,Toggle,1,2
99,11.945506623418247,3351.394377950643,Toggle,1,2
100,11.945506623418712,3351.394677725741,Toggle,1,2
101,11.945506623419035,3351.3949298047314,Toggle,1,2
102,11.945506623419224,3351.3951417781827,Toggle,1,2
103,11.945506623419336,3351.395320025537,Toggle,1,2
104,11.94550662341943,3351.3954699136843,Toggle,1,2
105,11.94550662341952,3351.395595953431,Toggle,1,2
106,11.945506623419579,3351.395701937236,Toggle,1,2
107,11.945506623419583,3351.3957910578197,Toggle,1,2
108,11.94550662341959,3351.395866000246,Toggle,1,2
109,11.945506623419618,3351.395929020691,Toggle,1,2
110,11.94550662341966,3351.3959820149516,Toggle,1,2
111,11.945506623419664,3351.3960265774904,Toggle,1,2
112,11.945506623419654,3351.3960640499736,Toggle,1,2
113,11.945506623419629,3351.396095560822,Toggle,1,2
114,11.945506623419625,3351.396122058559,Toggle,1,2
115,11.945506623419648,3351.396144340555,Toggle,1,2
116,11.945506623419664,3351.396163077426,Toggle,1,2
117,11.945506623419655,3351.39617883326,Toggle,1,2
118,11.945506623419654,3351.3961920824145,Toggle,1,2
119,11.945506623419666,3351.3962032236914,Toggle,1,2
120,11.945506623419693,3351.396212592408,Toggle,1,2
121,11.945506623419703,3351.3962204700174,Toggle,1,2
122,11.945506623419677,3351.3962270936686,Toggle,1,2
123,11.945506623419632,3351.396232661838,Toggle,1,2
124,11.945506623419584,3351.3962373442323,Toggle,1,2
125,11.94550662341957,3351.396241282666,Toggle,1,2
126,11.945506623419567,3351.3962445940674,Toggle,1,2
127,11.945506623419593,3351.39624738032,Toggle,1,2
128,11.945506623419627,3351.396249723346,Toggle,1,2
129,11.945506623419627,3351.3962516935326,Toggle,1,2
130,11.945506623419586,3351.3962533503336,Toggle,1,2
131,11.945506623419567,3351.396254743504,Toggle,1,2
132,11.945506623419542,3351.396255914725,Toggle,1,2
133,11.945506623419545,3351.39625690009,Toggle,1,2
134,11.945506623419542,3351.3962577286966,Toggle,1,2
135,11.945506623419558,3351.3962584255514,Toggle,1,2
136,11.945506623419574,3351.3962590115857,Toggle,1,2
137,11.945506623419602,3351.3962595038415,Toggle,1,2
138,11.945506623419634,3351.396259917979,Toggle,1,2
139,11.94550662341965,3351.3962602650217,Toggle,1,2
140,11.945506623419647,3351.396260557591,Toggle,1,2
141,11.945506623419629,3351.3962608029087,Toggle,1,2
142,11.945506623419602,3351.396261009206,Toggle,1,2
