A,R,amplitude,period
1.2e6,1850.0,781.334071550656,58.700000000000045
1.2e6,1900.0,806.411067231249,58.90000000000009
1.2e6,1950.0,831.4363306329587,59.0
1.2e6,2000.0,856.4079890139114,59.100000000000136
1.2e6,2050.0,881.3575635635648,59.299999999999955
1.2e6,2100.0,906.2666738666562,59.399999999999864
1.2e6,2150.0,931.1611142531287,59.59999999999991
1.2e6,2200.0,956.0092216162319,59.700000000000045
1.2e6,2250.0,980.8468784485389,59.90000000000009
1.2e6,2300.0,1005.6592110461097,60.09999999999991
1.2e6,2350.0,1030.45008609973,60.19999999999982
1.2e6,2400.0,1055.2074776452182,60.40000000000009
1.2e6,2450.0,1079.973325776769,60.5
1.2e6,2500.0,1104.711357868199,60.59999999999991
1.2e6,2550.0,1129.4311574587525,60.700000000000045
1.2e6,2600.0,1154.1367850951294,60.899999999999864
1.2e6,2650.0,1178.8364657690815,61.0
1.2e6,2700.0,1203.5398293886144,61.100000000000136
1.2e6,2750.0,1228.218075266705,61.200000000000045
1.2e6,2800.0,1252.8917184513475,61.40000000000009
1.2e6,2850.0,1277.5367361185306,61.600000000000136
1.2e6,2900.0,1302.2054276482181,61.69999999999982
1.2e6,2950.0,1326.849064933778,61.799999999999955
1.2e6,3000.0,1351.4851001616269,61.90000000000009
1.2e6,3050.0,1376.130088276584,62.0
1.2e6,3100.0,1400.7518005255044,62.09999999999991
1.2e6,3150.0,1425.4019795925099,62.200000000000045
1.2e6,3200.0,1450.0166447207346,62.299999999999955
1.2e6,3250.0,1474.6354298861352,62.40000000000009
1.2e6,3300.0,1499.2669228408683,62.59999999999991
1.2e6,3350.0,1523.8722207130463,62.700000000000045
1.2e6,3400.0,1548.4971309452442,62.80000000000018
1.2e6,3450.0,1573.1099578217052,62.90000000000009
1.2e6,3500.0,1597.7114756989654,63.0
1.2e6,3550.0,1622.319835888521,63.09999999999991
1.2e6,3600.0,1646.9197578589265,63.299999999999955
1.2e6,3650.0,1671.5331563841874,63.40000000000009
1.2e6,3700.0,1696.1308311870284,63.5
1.2e6,3750.0,1720.748129140552,63.5
1.2e6,3800.0,1745.3495237068928,63.700000000000045
1.2e6,3850.0,1769.9656790840043,63.799999999999955
1.2e6,3900.0,1794.5725060824552,63.90000000000009
1.2e6,3950.0,1819.1726305179968,64.0
1.2e6,4000.0,1843.7615752706706,64.0
1.2e6,4050.0,1868.39094627975,64.20000000000005
1.2e6,4100.0,1892.998395820096,64.20000000000005
1.2e6,4150.0,1917.6038785108594,64.29999999999995
1.2e6,4200.0,1942.2187441527742,64.39999999999986
1.2e6,4250.0,1966.815512396061,64.5
1.2e6,4300.0,1991.4424466650646,64.59999999999991
1.2e6,4350.0,2016.0443200898249,64.70000000000005
1.2e6,4400.0,2040.6465405803747,64.89999999999986
1.2e6,4450.0,2065.271647339969,65.0
1.2e6,4500.0,2089.8832399959965,65.09999999999991
1.2e6,4550.0,2114.513225623837,65.09999999999991
1.2e6,4600.0,2139.1508415142935,65.20000000000005
1.2e6,4650.0,2163.750952233687,65.20000000000005
1.2e6,4700.0,2188.391754309508,65.40000000000009
1.2e6,4750.0,2213.0298649067627,65.5
1.2e6,4800.0,2237.661918287006,65.60000000000014
1.2e6,4850.0,2262.2896652638324,65.69999999999982
1.2e6,4900.0,2286.902540282351,65.79999999999995
1.2e6,4950.0,2311.562755893921,65.79999999999995
1.2e6,5000.0,2336.190755978283,65.90000000000009
1.2e6,5050.0,2360.850344679349,66.0
1.2e6,5100.0,2385.486900105752,66.0
1.2e6,5150.0,2410.1262932477835,66.09999999999991
1.2e6,5200.0,2434.7784739660856,66.20000000000005
1.2e6,5250.0,2459.4427776149087,66.29999999999995
1.2e6,5300.0,2484.0948289650546,66.40000000000009
1.2e6,5350.0,2508.7271096326913,66.40000000000009
1.2e6,5400.0,2533.4176918863864,66.59999999999991
1.2e6,5450.0,2558.0698027185963,66.60000000000014
1.2e6,5500.0,2582.708224570087,66.79999999999995
1.2e6,5550.0,2607.396362436384,66.79999999999995
1.2e6,5600.0,2632.070310054595,66.90000000000009
1.2e6,5650.0,2656.7317872267463,67.0
1.2e6,5700.0,2681.4165657847543,67.0
1.2e6,5750.0,2706.1208232333706,67.10000000000014
1.2e6,5800.0,2730.785939028936,67.19999999999982
1.2e6,5850.0,2755.489352218106,67.20000000000005
1.2e6,5900.0,2780.1424353121497,67.40000000000009
1.2e6,5950.0,2804.8692477255317,67.40000000000009
1.2e6,6000.0,2829.5715861357676,67.5
1.25e6,1000.0,337.07488119573947,55.299999999999955
1.25e6,1050.0,365.3761365592128,55.600000000000136
1.25e6,1100.0,393.12256806480616,55.799999999999955
1.25e6,1150.0,420.41808805404264,56.0
1.25e6,1200.0,447.354158563816,56.100000000000136
1.25e6,1250.0,473.9839275436719,56.299999999999955
1.25e6,1300.0,500.3693980269996,56.5
1.25e6,1350.0,526.5425168168597,56.700000000000045
1.25e6,1400.0,552.5340024293512,56.90000000000009
1.25e6,1450.0,578.3703977989575,57.09999999999991
1.25e6,1500.0,604.0743474623763,57.200000000000045
1.25e6,1550.0,629.6591559438274,57.40000000000009
1.25e6,1600.0,655.1400657417255,57.5
1.25e6,1650.0,680.5349005934958,57.700000000000045
1.25e6,1700.0,705.8427079458482,57.90000000000009
1.25e6,1750.0,731.0882971189213,58.0
1.25e6,1800.0,756.2657003151685,58.299999999999955
1.25e6,1850.0,781.3876769579175,58.399999999999864
1.25e6,1900.0,806.4706139414054,58.5
