t,M,P,model,sim,gene
122,11.934858444792084,3348.4058410849766,Toggle,1,2
123,11.934858630822786,3348.406335758991,Toggle,1,2
124,11.934858790397142,3348.4067593176715,Toggle,1,2
125,11.934858927337222,3348.4071222137613,Toggle,1,2
126,11.934859044905684,3348.407433300209,Toggle,1,2
127,11.934859145770133,3348.4076997878215,Toggle,1,2
128,11.93485923240906,3348.4079283909896,Toggle,1,2
129,11.934859306716985,3348.408124182871,Toggle,1,2
130,11.934859370506157,3348.4082920430747,Toggle,1,2
131,11.934859425209018,3348.4084358067257,Toggle,1,2
132,11.93485947213384,3348.408558970706,Toggle,1,2
133,11.934859512368414,3348.408664448687,Toggle,1,2
134,11.934859546893685,3348.4087548584603,Toggle,1,2
135,11.93485957648989,3348.4088322742255,Toggle,1,2
136,11.934859601909569,3348.408898707477,Toggle,1,2
137,11.934859623698737,3348.4089555943656,Toggle,1,2
138,11.934859642414112,3348.409004417412,Toggle,1,2
139,11.934859658458405,3348.409046234375,Toggle,1,2
140,11.934859672220526,3348.409082072176,Toggle,1,2
141,11.93485968399379,3348.409112706417,Toggle,1,2
142,11.934859694078158,3348.409138924082,Toggle,1,2
143,11.934859702750314,3348.4091614508006,Toggle,1,2
144,11.934859710095187,3348.4091805088933,Toggle,1,2
145,11.934859716344777,3348.4091967106883,Toggle,1,2
146,11.934859721778459,3348.40921079349,Toggle,1,2
147,11.934859726440724,3348.409222867299,Toggle,1,2
148,11.934859730324957,3348.409232909421,Toggle,1,2
149,11.934859733680058,3348.409241581713,Toggle,1,2
150,11.934859736691282,3348.4092493748585,Toggle,1,2
151,11.934859739219112,3348.4092559072624,Toggle,1,2
152,11.93485974136236,3348.409261440183,Toggle,1,2
153,11.934859743268317,3348.409266365389,Toggle,1,2
154,11.934859744948382,3348.4092707098207,Toggle,1,2
155,11.93485974637859,3348.4092744056793,Toggle,1,2
156,11.934859747607746,3348.409277580607,Toggle,1,2
157,11.934859748678354,3348.4092803458643,Toggle,1,2
158,11.934859749601795,3348.409282731013,Toggle,1,2
159,11.934859750392883,3348.409284773535,Toggle,1,2
160,11.934859751066458,3348.409286510885,Toggle,1,2
161,11.934859751596047,3348.4092878716797,Toggle,1,2
162,11.934859751993374,3348.4092888868363,Toggle,1,2
163,11.934859752296486,3348.4092896570746,Toggle,1,2
164,11.934859752543424,3348.4092902831126,Toggle,1,2
165,11.934859752772235,3348.4092908656694,Toggle,1,2
166,11.934859753020957,3348.4092915054625,Toggle,1,2
167,11.93485975327412,3348.409292160741,Toggle,1,2
168,11.93485975331845,3348.409292263239,Toggle,1,2
169,11.934859753204574,3348.4092919474156,Toggle,1,2
170,11.934859753023021,3348.409291453968,Toggle,1,2
171,11.934859752864321,3348.409291023594,Toggle,1,2
172,11.934859752819003,3348.409290896992,Toggle,1,2
173,11.934859752977601,3348.4092913148584,Toggle,1,2
174,11.934859753185856,3348.4092918669185,Toggle,1,2
175,11.93485975317208,3348.409291830209,Toggle,1,2
176,11.934859753026581,3348.409291444206,Toggle,1,2
177,11.934859752843106,3348.40929095752,Toggle,1,2
178,11.934859752715399,3348.4092906187675,Toggle,1,2
179,11.934859752737202,3348.4092906765623,Toggle,1,2
180,11.93485975298841,3348.4092913428144,Toggle,1,2
181,11.934859753233411,3348.409291993561,Toggle,1,2
182,11.9348597533831,3348.4092923922194,Toggle,1,2
183,11.934859753473333,3348.4092926330954,Toggle,1,2
184,11.934859753539968,3348.4092928104915,Toggle,1,2
185,11.934859753618865,3348.409293018709,Toggle,1,2
186,11.934859753745878,3348.4092933520524,Toggle,1,2
187,11.934859753942272,3348.409293867318,Toggle,1,2
188,11.93485975416412,3348.40929445228,Toggle,1,2
189,11.934859754396665,3348.4092950677064,Toggle,1,2
190,11.934859754630548,3348.4092956881573,Toggle,1,2
191,11.934859754856413,3348.4092962881887,Toggle,1,2
192,11.934859755064902,3348.4092968423583,Toggle,1,2
193,11.93485975524666,3348.409297325226,Toggle,1,2
194,11.934859755392328,3348.409297711348,Toggle,1,2
195,11.93485975549255,3348.4092979752822,Toggle,1,2
196,11.93485975553797,3348.4092980915884,Toggle,1,2
197,11.93485975551923,3348.4092980348223,Toggle,1,2
198,11.934859755464647,3348.409297881732,Toggle,1,2
199,11.934859755419783,3348.409297756052,Toggle,1,2
200,11.93485975537934,3348.409297643672,Toggle,1,2
0,1.0e-6,200.0,Toggle,2,1
1,1.8325640489735713,195.29126810692438,Toggle,2,1
2,2.9269651105028593,263.84912339102044,Toggle,2,1
3,3.2894898507501407,360.9455795896466,Toggle,2,1
4,3.2639265188131033,453.2430580918659,Toggle,2,1
5,3.1009417507793646,527.5793266555567,Toggle,2,1
6,2.9236879215231126,582.4005979300349,Toggle,2,1
7,2.7859216469768255,620.9431606937382,Toggle,2,1
8,2.7088025103191993,647.8862834414587,Toggle,2,1
9,2.6985378388891634,667.9116406147092,Toggle,2,1
10,2.7544755281422098,685.1431426750698,Toggle,2,1
11,2.872791925294239,702.975511580991,Toggle,2,1
12,3.048204861613663,724.0681231477608,Toggle,2,1
